"id","resource","name","province","lat","lon","code"
"315","http://it.dbpedia.org/resource/Agropoli","Agropoli","SA","40.3501","14.9833","A091"
"351","http://it.dbpedia.org/resource/Andriano","Andriano","BZ","46.5167","11.2333","A286"
"352","http://it.dbpedia.org/resource/Appiano_sulla_Strada_del_Vino","Appiano sulla Strada del Vino","BZ","46.45","11.2667","A332"
"358","http://it.dbpedia.org/resource/Arcevia","Arcevia","AN","43.4833","12.9396","A366"
"367","http://it.dbpedia.org/resource/Alba_Adriatica","Alba Adriatica","TE","42.8333","13.9167","A125"
"381","http://it.dbpedia.org/resource/Arzano","Arzano","NA","40.9002","14.2667","A455"
"386","http://it.dbpedia.org/resource/Ancona","Ancona","AN","43.6167","13.5167","A271"
"424","http://it.dbpedia.org/resource/Assisi","Assisi","PG","43.0667","12.6167","A475"
"458","http://it.dbpedia.org/resource/Acqualagna","Acqualagna","PU","43.6167","12.6712","A035"
"459","http://it.dbpedia.org/resource/Andorno_Micca","Andorno Micca","BI","45.6","8.05","A280"
"464","http://it.dbpedia.org/resource/Agrigento","Agrigento","AG","37.3167","13.5834","A089"
"493","http://it.dbpedia.org/resource/Avola","Avola","SR","36.9167","15.1333","A522"
"497","http://it.dbpedia.org/resource/Anguillara_Sabazia","Anguillara Sabazia","RM","42.0834","12.2668","A297"
"624","http://it.dbpedia.org/resource/Bolzano","Bolzano","BZ","46.5","11.35","A952"
"627","http://it.dbpedia.org/resource/Bressanone","Bressanone","BZ","46.7167","11.65","B160"
"629","http://it.dbpedia.org/resource/Bronzolo","Bronzolo","BZ","46.4","11.3167","B203"
"660","http://it.dbpedia.org/resource/Brescia","Brescia","BS","45.5334","10.2167","B157"
"665","http://it.dbpedia.org/resource/Basiglio","Basiglio","MI","45.35","9.16667","A699"
"667","http://it.dbpedia.org/resource/Berra_(Italia)","Berra ","FE","44.9833","11.9667","A806"
"675","http://it.dbpedia.org/resource/Barzio","Barzio","LC","45.95","9.46667","A687"
"698","http://it.dbpedia.org/resource/Bastiglia_(Italia)","Bastiglia ","MO","44.7333","11","A713"
"731","http://it.dbpedia.org/resource/Bastia_Umbra","Bastia Umbra","PG","43.0667","12.55","A710"
"784","http://it.dbpedia.org/resource/Biella","Biella","BI","45.5502","8.05003","A859"
"805","http://it.dbpedia.org/resource/Buttigliera_Alta","Buttigliera Alta","TO","45.0667","7.41667","B305"
"849","http://it.dbpedia.org/resource/Catania","Catania","CT","37.5027","15.0873","C351"
"1190","http://it.dbpedia.org/resource/Caltagirone","Caltagirone","CT","37.2333","14.5167","B428"
"1194","http://it.dbpedia.org/resource/Copparo","Copparo","FE","44.9","11.8333","C980"
"1196","http://it.dbpedia.org/resource/Codigoro","Codigoro","FE","44.8333","12.1167","C814"
"1197","http://it.dbpedia.org/resource/Cento_(Italia)","Cento ","FE","44.7333","11.2833","C469"
"1208","http://it.dbpedia.org/resource/Celleno","Celleno","VT","42.5501","12.1334","C446"
"1214","http://it.dbpedia.org/resource/Como","Como","CO","45.8167","9.08333","C933"
"1222","http://it.dbpedia.org/resource/Cipressa","Cipressa","IM","43.8514","7.93055","C718"
"1224","http://it.dbpedia.org/resource/Cornedo_all'Isarco","Cornedo all'Isarco","BZ","46.5","11.4","B799"
"1235","http://it.dbpedia.org/resource/Carpinone","Carpinone","IS","41.6","14.3167","B830"
"1241","http://it.dbpedia.org/resource/Cellatica","Cellatica","BS","45.5833","10.1833","C439"
"1258","http://it.dbpedia.org/resource/Calusco_d'Adda","Calusco d'Adda","BG","45.6833","9.48333","B434"
"1270","http://it.dbpedia.org/resource/Campogalliano","Campogalliano","MO","44.6833","10.85","B539"
"1271","http://it.dbpedia.org/resource/Carpi","Carpi","MO","44.7833","10.8834","B819"
"1285","http://it.dbpedia.org/resource/Castrignano_del_Capo","Castrignano del Capo","LE","39.8333","18.35","C336"
"1316","http://it.dbpedia.org/resource/Ciserano","Ciserano","BG","45.5833","9.6","C730"
"1369","http://it.dbpedia.org/resource/Cavareno","Cavareno","TN","46.4167","11.1333","C380"
"1371","http://it.dbpedia.org/resource/Campagna_(comune)","Campagna ","SA","40.6667","15.1","B492"
